Source,Target,Type,Id,Label,timeset,Weight,0
"#queroverprimeiro",adolescência,Undirected,15609,,,1,0
"#queroverprimeiro",favoritos,Undirected,15608,,,1,0
"#queroverprimeiro",estreando,Undirected,15607,,,1,0
"#queroverprimeiro",momento,Undirected,15603,,,1,0
"#queroverprimeiro",esperei,Undirected,15602,,,1,0
"#queroverprimeiro",mar,Undirected,15601,,,1,0
"#queroverprimeiro",retorno,Undirected,15600,,,1,0
"#queroverprimeiro",2,Undirected,15599,,,1,0
"#queroverprimeiro",outras,Undirected,15589,,,1,0
"#queroverprimeiro",tarzan,Undirected,15588,,,1,0
"#queroverprimeiro",hércules,Undirected,15587,,,1,0
"#queroverprimeiro",sereia,Undirected,15585,,,2,1
"#queroverprimeiro",pequena,Undirected,15583,,,2,1
"#queroverprimeiro",aladdin,Undirected,15582,,,1,0
"#queroverprimeiro",90,Undirected,15581,,,1,0
"#queroverprimeiro",animadas,Undirected,15580,,,1,0
"#queroverprimeiro",prometeu,Undirected,15579,,,1,0
"#queroverprimeiro",stuff,Undirected,15578,,,1,0
"#queroverprimeiro",right,Undirected,15577,,,1,0
"#queroverprimeiro",😭,Undirected,15576,,,1,0
"#queroverprimeiro",preciosidade,Undirected,15575,,,1,0
"#queroverprimeiro",🏼,Undirected,15574,,,1,0
"#queroverprimeiro",bracinhos,Undirected,15573,,,1,0
"#queroverprimeiro",joga,Undirected,15572,,,1,0
"#queroverprimeiro",encantadoaapaixonadoa,Undirected,15571,,,1,0
"#queroverprimeiro",%,Undirected,15570,,,1,0
"#queroverprimeiro",100,Undirected,15569,,,1,0
"#queroverprimeiro",terminar,Undirected,15568,,,1,0
"#queroverprimeiro",conseguir,Undirected,15567,,,1,0
"#queroverprimeiro",coloquei,Undirected,15566,,,1,0
"#queroverprimeiro",violetta,Undirected,15565,,,1,0
"#queroverprimeiro",10,Undirected,15564,,,1,0
"#queroverprimeiro",top,Undirected,15563,,,1,0
"#queroverprimeiro",amo,Undirected,15562,,,1,0
"#queroverprimeiro","#garotaconheceomundo",Undirected,15561,,,1,0
"#queroverprimeiro",correndo,Undirected,15560,,,1,0
"#queroverprimeiro",decepcionem,Undirected,15558,,,2,1
"#queroverprimeiro",gonies,Undirected,15556,,,2,1
"#queroverprimeiro",pimentinha,Undirected,15554,,,2,1
"#queroverprimeiro",patos,Undirected,15552,,,2,1
"#queroverprimeiro",super,Undirected,15550,,,2,1
"#queroverprimeiro",quack,Undirected,15548,,,2,1
"#queroverprimeiro",pateta,Undirected,15545,,,3,2
"#queroverprimeiro",turma,Undirected,15542,,,3,2
"#queroverprimeiro",cruj,Undirected,15540,,,2,1
"#queroverprimeiro",geração,Undirected,15538,,,2,1
"#queroverprimeiro",velhinhos,Undirected,15536,,,2,1
"#queroverprimeiro",desenhos,Undirected,15534,,,2,1
"#queroverprimeiro",cadê,Undirected,15531,,,3,2
"#queroverprimeiro",😊,Undirected,15530,,,1,0
"#queroverprimeiro",todos,Undirected,15529,,,1,0
"#queroverprimeiro",wars,Undirected,15528,,,1,0
"#queroverprimeiro",star,Undirected,15527,,,1,0
"#queroverprimeiro",página,Undirected,15526,,,1,0
"#queroverprimeiro",abriu,Undirected,15525,,,1,0
"#queroverprimeiro",logo,Undirected,15524,,,1,0
"#queroverprimeiro",foto,Undirected,15523,,,1,0
"#queroverprimeiro",child,Undirected,15522,,,1,0
"#queroverprimeiro",amei,Undirected,15521,,,1,0
"#queroverprimeiro",🤗,Undirected,15518,,,3,2
"#queroverprimeiro",classico,Undirected,15517,,,1,0
"#queroverprimeiro",emocionando,Undirected,15516,,,1,0
"#queroverprimeiro",action,Undirected,15514,,,2,1
"#queroverprimeiro",live,Undirected,15512,,,2,1
"#queroverprimeiro",valer,Undirected,15511,,,1,0
"#queroverprimeiro",💝,Undirected,15510,,,1,0
"#queroverprimeiro",💞,Undirected,15509,,,1,0
"#queroverprimeiro",🥺,Undirected,15507,,,2,1
