,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text,retweet_count,favorite_count,user_followers,user_following
0,oKaicFranca,304463951,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-09 23:59:24,1325951153998278656,"RT @DisneyPlusBR: E aí, com qual personagem você acha que a @SandyLeah combina mais? Descubra o seu DNA Disney+ em https://t.co/BrGGeJDoMY…",207,0,159,626
1,_SrtaBia,109715250,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-09 23:50:40,1325948953272209410,"RT @DisneyPlusBR: E aí, com qual personagem você acha que a @SandyLeah combina mais? Descubra o seu DNA Disney+ em https://t.co/BrGGeJDoMY…",207,0,379,672
2,tiagobacelar,51188475,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-09 23:49:47,1325948734824439813,"RT @DisneyPlusBR: Prepare-se para uma missão de outro mundo! 🏠🚀 Phineas e Ferb, O Filme: #CandaceContraOUniverso, disponível em 17 de novem…",66,0,295,2922
3,cinemaanosluz,83142538,False,,0,,omelete,9612112,omelete,9612112,2020-11-09 23:49:02,1325948543912337408,"@omelete #DisneyPlus já esperamos até aqui podemos esperar mais 
https://t.co/82nVyvlplA",0,0,2546,4810
4,dayaninhasantos,869790306,False,,0,,VRocha777,824596445277872132,VRocha777,824596445277872132,2020-11-09 23:46:48,1325947981003153409,"@VRocha777 Não vai ficar nada de bom! 
Pesquisar a DisneyPlus é o jeito!",0,1,107,260
5,brazclaudiaa,63308004,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-09 23:44:48,1325947479225851909,"RT @DisneyPlusBR: E aí, com qual personagem você acha que a @SandyLeah combina mais? Descubra o seu DNA Disney+ em https://t.co/BrGGeJDoMY…",207,0,1162,289
6,WreckingIan,309986231,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-09 23:44:29,1325947398468890624,"RT @DisneyPlusBR: E aí, com qual personagem você acha que a @SandyLeah combina mais? Descubra o seu DNA Disney+ em https://t.co/BrGGeJDoMY…",207,0,1315,801
7,alinocatadeboa,58887856,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-09 23:43:57,1325947263575863298,"RT @DisneyPlusBR: E aí, com qual personagem você acha que a @SandyLeah combina mais? Descubra o seu DNA Disney+ em https://t.co/BrGGeJDoMY…",207,0,448,638
8,martinelli_edm,854115668865818628,False,,0,,,0,0,0,2020-11-09 23:43:30,1325947152649084936,Quem vai dividir a assinatura do Disneyplus cmg?,0,0,201,623
9,supwrgirlx,826832056634245121,False,NewsWandaVision,1151288843234107392,False,NewsWandaVision,1151288843234107392,0,0,2020-11-09 23:42:58,1325947017118486529,"RT @NewsWandaVision: Está vindo! Ainda sem data, mas WandaVision ainda está vindo! https://t.co/VegvUgXuwi",8,0,1588,1499
