,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text,retweet_count,favorite_count,user_followers,user_following
0,robertocarlosfj,2245256164,False,,0,,dudu_cabral,37809949,dudu_cabral,37809949,2020-11-14 19:10:08,1327690296281468928,@dudu_cabral @dudu_cabral acho que o filme do homem aranha não entra no disneyplus por causa do contrato com a sony,0,0,3694,609
1,taehysinner,1322215968622477314,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:07:09,1327689544964190208,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,16,149
2,acuareladebia,1073194203063164935,False,stoesselsouza_,1262160798245322757,False,stoesselsouza_,1262160798245322757,0,0,2020-11-14 19:05:55,1327689236137521154,RT @stoesselsouza_: bom dia hoje tem Ela# apresentando o DisneyPlus 🤱🏻🙌🏻,3,0,137,132
3,guixgalak,3257668156,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:05:19,1327689084400263170,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,555,1298
4,AAssembleBR,1073607966954307585,False,,0,,,0,0,0,2020-11-14 19:02:16,1327688317564047360,O documentário “Expanding the Universe” estará disponível no #DisneyPlus assim que chegar no Brasil no dia 17 desse… https://t.co/tCpa2t9GEk,0,5,13467,971
5,talitini,1021904652357521408,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:01:38,1327688155030560768,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,1657,432
6,AAssembleBR,1073607966954307585,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:01:20,1327688079558193153,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",21,0,13467,971
7,AAssembleBR,1073607966954307585,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:01:17,1327688068439175171,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",15,0,13467,971
8,AAssembleBR,1073607966954307585,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:01:15,1327688058389618688,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,13467,971
9,wishustyles,1300413690,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:01:01,1327687999900037126,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,4125,2500
10,vitorluispaiva,1324854658721001473,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:00:55,1327687978290909185,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,3,32
11,rogerio_foxrc1,1139660411731632130,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 19:00:18,1327687822413860864,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,823,1405
12,temaristan26,2920916525,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:58:41,1327687413867687943,"RT @DisneyPlusBR: Top 4 motivos para assinar o #DisneyPlus: 😉
1. Assista em até 4 telas ao mesmo tempo;
2. Baixe o quiser em até 10 disposi…",61,0,326,419
13,Lion_PlayYT,891057200587825154,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:57:02,1327686997624958977,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",21,0,23,13
14,LucasGeekFan,814222969010589696,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:56:47,1327686934643298305,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",21,0,822,4676
15,LucasGeekFan,814222969010589696,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:56:39,1327686902003150851,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",15,0,822,4676
16,PalomaGomes25,454967372,False,,0,,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:56:26,1327686846445461512,"Estou excluindo tudo que é aplicativo para deixar livre para o @DisneyPlusBR 
Chega logo dia 17.. #DisneyPlus #disneyplusbrasil",0,0,25,93
17,LucasGeekFan,814222969010589696,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:56:24,1327686838618873858,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,822,4676
18,DisneyPlusHelp,1105147068409102336,True,,0,,felipebruno09,245576354,felipebruno09,245576354,2020-11-14 18:54:32,1327686369636978689,"@felipebruno09 Olá, Bruno! O aplicativo Disney+ estará disponível a partir do dia 17 de Novembro. Você pode ver uma… https://t.co/zySQ55xQiS",0,2,38779,70
19,charliecfm,206654502,False,,0,,disneyplus,985916593065476096,0,0,2020-11-14 18:52:47,1327685930463989760,Finalmente estou a ver o #thelittlemermaidlive no @disneyplus e está brutal!!!! Quem tiver oportunidade de ver apro… https://t.co/QS7bWCSXtg,0,0,843,480
20,telmomendesleal,719909851,False,,0,,,0,0,0,2020-11-14 18:49:03,1327684991292231682,Exato https://t.co/JZP1geDreP,0,0,197,980
21,kepler_mag,179699290,False,TheOwlHouseBR,1229564459083075587,False,TheOwlHouseBR,1229564459083075587,0,0,2020-11-14 18:47:02,1327684481441026048,"RT @TheOwlHouseBR: Assinei o Disney+ hoje, ansioso pra a partir da próxima terça poder assistir The Owl House dando dinheiro pra Dana sempr…",3,0,844,2566
22,Henriqu23673678,798270259295821824,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:46:19,1327684304021942273,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",21,0,495,3024
23,Henriqu23673678,798270259295821824,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:46:14,1327684283226578944,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",15,0,495,3024
24,Henriqu23673678,798270259295821824,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:46:07,1327684252910182400,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,495,3024
25,rodrigaosanfer,27299760,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:45:27,1327684082218758155,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,555,666
26,dcristina_23,1059097930509045760,False,DisneyPlusBR,1011372006753746944,True,DisneyPlusBR,1011372006753746944,0,0,2020-11-14 18:44:19,1327683799434600448,"RT @DisneyPlusBR: De Homem de Ferro a Vingadores: Ultimato, todo o Universo Cinematográfico Marvel estará em um só lugar, no #DisneyPlus. (…",34,0,361,1232
