,user_screen_name,user_id,user_is_verified,retweeted_from_screen_name,retweeted_from_id,retweeted_from_is_verified,screen_name_mention_1,id_mention_1,in_reply_to_screen_name,in_reply_to_user_id,created_at,id,text,retweet_count,favorite_count,user_followers,user_following
0,beazinhadelima,345497981,False,ualdisney,3226296640,False,ualdisney,3226296640,0,0,2020-11-15 03:23:14,1327814387667755009,"RT @ualdisney: meu deus a isabela souza serviu DEMAIS cantando ninguém me cala
#DisneyPlus 

 https://t.co/9fLmcT4FRV",2,0,593,699
1,elisardias,819217287291011074,False,nessavcb,1093571781913395204,False,nessavcb,1093571781913395204,0,0,2020-11-15 03:23:14,1327814386858274817,"RT @nessavcb: Abuso psicológico 
O abuso psicológico é tratado na relação entre Victor e seu pai, onde Antônio obriga o filho a mentir sobr…",2,0,107,215
2,__laramaria,1036313520344838146,False,schuylerfavs,1257130996249563138,False,schuylerfavs,1257130996249563138,0,0,2020-11-15 03:23:08,1327814364167024640,"RT @schuylerfavs: #DisneyPlus assistam hamilton quando lançar disney+
https://t.co/KqOCiIY8c3",19,0,258,353
3,L1M4rtins,1318037533234692096,False,,0,,,0,0,0,2020-11-15 03:23:06,1327814356445360128,"Algum amg Twitteiro, de bom coração, que tenha Disney plus e queria dividir com um pobre rapaz legal? #DisneyPlus https://t.co/i3RjCRGlRm",0,0,31,47
4,talitini,1021904652357521408,False,ualdisney,3226296640,False,ualdisney,3226296640,0,0,2020-11-15 03:22:47,1327814274429947904,"RT @ualdisney: meu deus a isabela souza serviu DEMAIS cantando ninguém me cala
#DisneyPlus 

 https://t.co/9fLmcT4FRV",2,0,1739,582
5,penaftgwylie,1315313374272552962,False,nessavcb,1093571781913395204,False,nessavcb,1093571781913395204,0,0,2020-11-15 03:22:44,1327814264514637826,"RT @nessavcb: Principais temas abordados em  Disney Bia a Thread:
#DisneyPlus https://t.co/RrMaCwXiz9",7,0,135,156
6,wtfmariaclara,956271159468875777,False,gafaus_,751995694488121344,False,gafaus_,751995694488121344,0,0,2020-11-15 03:22:34,1327814219534913539,RT @gafaus_: eu quando assistir Hamilton no #DisneyPlus pela primeira vez fingindo que nunca vi o bootleg e o proshotnpirata https://t.co/a…,43,0,222,251
7,Giobann_a,1204344026410999808,False,tiniflores,1154891408794423296,False,tiniflores,1154891408794423296,0,0,2020-11-15 03:22:31,1327814209137225728,"RT @tiniflores: usaram a tini pra ter audiência e não mostraram ela, quem amou? #DisneyPlus",8,0,52,117
8,binuelisul1,1169404206870126592,False,irmasurquiza,1210009320307466245,False,irmasurquiza,1210009320307466245,0,0,2020-11-15 03:22:19,1327814156209319938,"RT @irmasurquiza: #DisneyPlus Bia trás temas importantes de forma leve e bonita. 
Mas os atores entregam tudo e fazem vc se emocionar horro…",6,0,621,508
9,nessavcb,1093571781913395204,False,,0,,,0,nessavcb,1093571781913395204,2020-11-15 03:22:12,1327814130053619717,"Abandono parental:
Esse tema se enquadra para Alex e Manuel 
Alex se sente abandonado, pois depois do acidente seus… https://t.co/8AurJLu5K1",0,2,801,625
10,kerrimeddersbra,1309552902290247681,False,,0,,,0,0,0,2020-11-15 03:22:02,1327814086382522369,"Aproveitando que #DisneyPlus está nos trends, não se esqueçam que #Spin, filme protagonizado por Avantika Vandanapu… https://t.co/qxwNTlfhi2",0,1,103,69
11,binuel_squad,1259126000149049345,False,thebinuelig,1219808841401012224,False,thebinuelig,1219808841401012224,0,0,2020-11-15 03:22:00,1327814076148428800,RT @thebinuelig: Deixo aqui a atuação impecável da Isabela e do Júlio de Bia #DisneyPlus https://t.co/DdN0nwl9ux,12,0,990,822
12,SHINESOWZA,1248746507785981952,False,itsbiaxbyeu,1032667176128442369,False,itsbiaxbyeu,1032667176128442369,0,0,2020-11-15 03:21:49,1327814033530101763,"RT @itsbiaxbyeu: um orgulho chamado: eles# 
sério, é muito lindo ver oq eles conquistaram até aqui e saber que tudo isso vai abrir muitas o…",6,0,107,98
13,irmasurquiza,1210009320307466245,False,ilysmbinuel,1236073778033184772,False,ilysmbinuel,1236073778033184772,0,0,2020-11-15 03:21:33,1327813963015479297,"RT @ilysmbinuel: ah, um fato importante sobre a série! ela foi a primeira série transmídia feita pelo Disney Channel, pois todos os persona…",2,0,446,275
14,WoompBR,977308058,False,WoompBR,977308058,False,WoompBR,977308058,0,0,2020-11-15 03:21:30,1327813953184010240,"RT @WoompBR: A série que Jorge Blanco e Michael Ronda irão protagonizar se chamará, em português, ""Pais por Acidente"". #DisneyPlus https://…",65,0,24589,885
15,SHINESOWZA,1248746507785981952,False,alwaysdisneybia,855875185186140160,False,alwaysdisneybia,855875185186140160,0,0,2020-11-15 03:21:28,1327813943184777217,"RT @alwaysdisneybia: ⭐Com vocês o trio de brasileiros que fazem parte da série: Disney 
Bia, incluindo a protagonista:Isabela Souza. Além d…",5,0,107,98
16,wangswylie,1093060713667616769,False,isagosolo,883484908890599426,False,isagosolo,883484908890599426,0,0,2020-11-15 03:21:27,1327813940378808321,RT @isagosolo: Isabela Souza cantando “Ninguém Me Cala” para o #DisneyPlus em gifs; a thread. https://t.co/rcoXHTHt6o,4,0,2527,2682
17,slytherinltcia,1088112375486648320,False,,0,,,0,0,0,2020-11-15 03:21:27,1327813939321778177,pensando em como vou fazer pra ter DisneyPlus https://t.co/qXc2bNw6mV,0,0,105,258
18,irmasurquiza,1210009320307466245,False,binuelisul1,1169404206870126592,False,binuelisul1,1169404206870126592,0,0,2020-11-15 03:21:24,1327813928865378304,"RT @binuelisul1: PROTAGONISTAS DA SÉRIE BIA, SUPER TALENTOSOS, ISABELA SOUZA É 🇧🇷  E JÚLIO PEÑA É 🇪🇸 SE DÃO MUITO BEM ESBAJAM QUÍMICA E CAR…",4,0,446,275
19,ualdisney,3226296640,False,,0,,,0,0,0,2020-11-15 03:21:23,1327813923534499841,"meu deus a isabela souza serviu DEMAIS cantando ninguém me cala
#DisneyPlus 

 https://t.co/9fLmcT4FRV",2,13,15947,13782
